name,wer_ev,cer_ev,wer_my,cer_my
all_wer_cer,31.65050339968239,8.614428666016067,-1,-1
p239,35.33599329139309,9.485852637672807,11.405927015894276,24.423628016012117
p255,34.18207674782541,8.971581876919899,9.372131081299331,21.210274311674358
p226,35.4365282685412,8.897258160743979,9.260219542596829,22.034861790978756
p274,32.07834858908988,7.804007912737432,7.900143900481067,20.543399058949074
p243,28.427718616106368,7.43958413231418,7.905498499789849,18.654598640375674
p351,36.883189548140145,10.127260170238497,12.046138164678437,24.10353213186856
p363,35.09889236239021,8.375598375085627,7.392926197955492,22.488639839022756
p246,35.04939171965093,8.534722483813313,7.980029056842536,22.976616610493608
p283,34.08177083532895,9.574908704958345,10.029421154179389,22.95655808330237
p326,36.72023729025758,9.891080447685106,13.228521129484841,24.412837712242414
p292,34.231643308669874,8.406366200537601,8.235042372575988,22.041737129351304
p294,33.09594552505105,8.008441757193337,7.800086116869154,21.15691539469206
p343,33.38492692099148,7.705568088132046,5.7344811997552085,20.300283617520805
p311,34.74650727527137,8.605406308271569,9.425718007580196,22.55898334212091
p281,33.56895964121935,8.839599297695575,9.258688560323556,22.48558095162864
p314,32.91603545808368,7.8986840898893265,8.292372505863048,21.939789668396088
p249,32.67991735813234,8.320511235487787,8.300083061843143,21.94180252541768
p266,37.789938806117526,10.648363010066708,12.66331349501753,26.317067530028943
p335,36.2591203780789,10.104408557671817,13.22221907762897,25.550763795727068
p304,34.42251291380142,9.07197287467142,9.245758209347557,23.151158292073166
p233,33.05506947740797,8.558416711970363,9.145970504236004,20.06016115916027
p259,31.387186969468498,7.441815325323454,6.532521216374511,19.676200635327362
p318,32.891370138281566,7.78189337887353,6.341259807724966,20.506423541389086
p271,34.23772644764077,8.149780126915608,6.345994767277551,21.532229759470294
p334,35.46010094189843,9.235108577441641,10.894693988583281,22.837160015021926
p231,34.176229756776095,9.202918415001056,9.826701223658201,22.149499289289892
p313,36.39190429204628,9.449722498273827,10.996130569091894,24.177634227060842
p278,32.485521765887356,8.474898359419772,8.773175821960136,21.747612210657753
p345,36.469310617576305,9.581999044934912,10.204703121645977,24.414186328177546
p276,31.41167551457151,7.713048368548432,7.796034978421088,20.765406226219646
p340,36.50070007619471,9.518754039120918,10.294362036150016,24.443003262596108
p333,33.2200515063355,8.152037135966653,8.634219314460596,21.289434461620345
p254,35.04948570755641,9.235438252997726,9.70962036681147,21.815843909537588
p300,30.535113541671137,7.365510481734214,7.5678143186544276,19.45098091523098
p360,37.13996296867492,9.62007323536191,10.701305173373852,25.51673816434434
p251,36.778056604992486,10.62464048271183,13.49177416217187,24.729981205555696
p279,37.97909586792748,10.55599068899277,13.746929171937769,25.51339196466872
p305,31.983347667149225,7.920037582446882,9.1440716820469,20.36482770007637
p269,34.01356045650193,8.733364354604833,8.658822469422663,21.40313009761552
p258,35.824456448955175,9.913905625717211,10.39281884940398,22.957829321951746
p268,31.82670758665136,7.360906160532076,7.784913307692746,21.09694244205639
p273,33.88619480443217,9.252896459663736,10.20895784983187,22.73168820380803
p336,35.133800513705616,8.659402657644735,8.435171828597694,22.297342188583325
p376,33.90650327735953,8.234442968647645,7.808818384941769,21.842847734295013
p316,33.53648859725911,8.48508316917143,7.667906404559146,21.383865927726724
p250,34.088893139262346,9.075536689243767,10.495364147126471,22.726267567009867
p245,32.6561432249959,8.173877747152279,7.08610655352666,19.588985890354987
p270,32.37544550846356,8.438187185597512,9.212937979122293,22.679156744871136
p229,34.274279450378415,8.803318767667756,9.121854983745077,21.10306570770198
p237,34.451082797886826,8.809310174858643,8.874908667848198,22.742161309925347
p238,32.531234109380236,7.6373580514185395,8.914922197568027,22.531343297446085
p263,33.70471910978412,10.018240980833422,11.711530192875461,23.56583661315144
p248,36.86226475531369,10.151981036296368,11.531919996324513,22.74649096534995
p307,30.919791350270145,7.452416048782142,7.777020427645149,19.607440127063413
p297,34.42648352737006,8.910176240760064,11.670967721464788,23.82612844212712
p286,31.8570708768003,8.222495778714707,8.061565966777414,21.183219845341874
p302,34.572095666391014,9.102277175671395,11.374062241057251,22.55317310372122
p299,32.46863497402431,7.633859689242092,7.633233688852306,19.34957159663428
p260,35.54464076384845,9.391939868786194,9.76148842460979,21.889926610843887
p261,31.50134486224158,8.331227664971475,7.674502912579486,20.619998247467677
p374,35.37057023181731,8.921805076805747,9.451128001304335,22.90206629894139
p232,35.07371316296541,8.794339499235178,9.705388107373372,21.42676740572856
p341,32.47436258692288,7.998933230250506,7.8340058716098575,21.00397542548951
p275,37.07327699138438,9.698237803853655,11.663822846433286,22.753262498645356
p329,32.88254477951424,7.882666688777264,7.734667089851749,21.217344999604798
p298,33.388036252501394,8.333917699247273,10.204600776410196,21.215716343789556
p308,34.52289157671989,8.796132967534518,10.689830074395205,22.03691241661337
p361,35.01227437026114,8.731825698655264,7.523531429635391,22.323932556595334
p364,36.7974960124966,9.117677634916006,8.488683310741875,23.6334197365325
p228,33.24339464670254,8.60388476632835,8.759631693607481,21.258307718740976
p323,31.568989344415893,7.7783722050766615,7.84009389157271,21.10807481993175
p227,31.680097066556794,7.997598419984781,6.379722592933014,20.276617526969442
p264,37.395234239238455,10.244496061333844,12.084017058129131,25.068203791080943
p303,33.5572697663163,8.870998087719101,10.358725562558584,21.659856854849842
p253,37.45495621337728,10.531450006660203,11.918265535633958,25.388861540952654
p256,35.44402303195266,9.014785604727663,8.82716576099778,22.13347739224788
p265,34.42032148905348,9.008814339640608,9.108266547614788,21.62429734595192
p285,39.35917547840321,11.650774854503904,13.601430618529541,27.366589254788344
p288,35.107628924498655,9.240497245149971,9.517377599497966,22.112410466604654
p234,28.82915184086583,6.8106832634740435,4.637779729585801,19.256861173455714
p362,34.20525927265336,8.073096869518357,7.825990512126585,20.971518172259795
p240,33.09917104426886,8.125291206844954,6.226738627145949,20.565291040864324
p280,28.598059976344786,7.7004948933902195,8.184861910179057,18.595166524056673
p293,37.05665552714414,10.190013366123086,12.523679867690802,25.12487636127406
p244,31.94590075939595,8.904271665857616,9.016142109933572,21.731253564252548
p310,35.24628035686272,9.028099319918457,10.6245480391617,23.70080403752683
p284,36.26619007876521,9.572909657009152,9.862675375778633,23.07736899284667
p272,36.246328420883835,9.645145624665618,10.614826760874305,23.59129999526457
p277,39.588872750713534,12.024020909296206,15.315823581866194,27.87939057242723
p247,34.81930377301087,9.210056350745582,10.293059094509315,22.90540919658861
p241,34.06908057844527,9.115386355100874,8.316642420201912,22.398537976468514
p225,30.49645996295709,8.469387844316763,9.558905941188515,20.575046273295182
p257,38.9630429415406,10.993934863266452,12.676161357803796,24.635191228320906
p317,31.992162613580877,7.7667405364293165,8.784699028397291,21.285500166886894
p312,37.697378622908204,9.546583899614342,11.523695763344291,24.45731709078343
p230,31.948165435972637,8.508646982412861,7.314421817642565,20.978474745936865
p301,31.635927505879632,7.504546338702474,7.803301963914152,20.092257341217138
p347,37.9730861488761,10.984319855011234,14.852002537047442,26.77346475505567
p306,33.22478946523238,8.753436806121902,11.18274648854134,23.077687760171305
p236,35.445073482267695,10.045693765515399,10.494899705166446,24.01327514637239
p339,33.932873524742796,7.7620846363620775,6.868346340877791,21.114858072479137
p262,35.30112942547529,9.257233049080702,10.054029837390143,23.167077796549997
p282,37.42824205974163,10.293794909341765,12.005876153770776,25.31831657569738
p295,35.22529656524547,9.819516071720326,14.377189182853488,24.88815631657024
p330,31.619501573665836,7.811023637249205,7.703356170601407,20.42144199604935
