name,wer_ev,cer_ev,wer_my,cer_my
all_wer_cer,6.40435406034629,2.119111165230138,-1,-1
p239,9.579085088625872,3.311714687317971,7.898198322029313,7.777167949242495
p255,7.1203524635850215,2.3867160751785685,5.569196962059063,5.450157224204976
p226,4.943226885309971,1.577896166136415,3.6899745853397543,3.695140772303716
p274,4.299807892957881,1.2435127550400216,3.2104970394161723,3.1709954311023894
p243,6.09987398506884,1.8117357963815934,4.243162830949089,3.7349527622987506
p351,8.385766765038404,3.1771953370681945,6.680541247920893,6.722211889295877
p246,5.373820003708271,1.322284774628851,2.4328480334066924,4.6517651350912335
p283,8.951315289911996,3.622435295825268,7.020209823849739,7.405161968100193
p326,10.628547272178404,3.6167600290696766,8.280532574539649,9.371911017636801
p292,5.887129901728442,1.8671145121733714,4.345093268450933,4.349913935058583
p294,3.4803796151313877,0.9307307817861697,1.857872886241681,2.2900806003392034
p343,3.417310066794603,0.8443593236991292,1.8758181966944851,2.3443719265974097
p311,5.761908186457512,1.6595002205274956,4.317056983300974,4.410206440320338
p281,8.689891475864478,3.2928744500858933,7.065908876649683,7.410407528250338
p314,4.633997822248486,1.4142132623159966,3.4085647108504626,3.7538904498665597
p249,6.173157072584083,2.0910049386915635,4.1775879958496285,4.930605423548268
p266,11.991521477054027,5.050703557222885,9.92712416321795,10.616272960121753
p335,9.155513539913347,3.3663637640007926,8.091343618484757,7.900204331015291
p304,7.268733747830423,3.1071065814647993,6.067448287959672,5.843401501070197
p233,4.2962782791942375,1.5066008149562908,3.375376725864841,3.3074922445896373
p259,3.9904618244699215,1.3390080122643244,2.87502024850203,3.0782219760190315
p318,2.990191711506254,0.7142998418331029,1.462115633043545,2.2304936845865386
p271,5.728402142918445,1.720456360347178,3.190586640476509,3.8254642107304457
p334,6.720228401139848,1.880114794989171,4.4584183491095635,5.049569922968106
p231,9.544023804757877,3.6090967779900627,8.104655648803847,8.68176379653741
p313,7.41800246675856,2.659034397720834,5.662793888197064,6.556246768007943
p278,5.13175582814209,1.8689595272597244,4.154925462236959,4.021045029274361
p345,5.740773231658821,2.155842170510228,3.7954114874769793,4.48558789084431
p276,5.42814344335192,1.6136175550137553,3.7798426605671986,4.25433327603771
p340,6.56127253085073,2.277608510203435,5.186814105253822,5.043112593789272
p333,4.335058105419106,1.0998626931667073,2.4210881699317754,2.5113512853733053
p254,4.67182145561332,1.3646725987610826,2.8121538254114014,3.473468531576921
p300,4.418116871667521,1.077961688704648,2.5588394715279135,2.828331601129737
p360,6.289262544738915,2.335227083802391,6.231074980344798,5.629727996685326
p251,11.234442991781043,4.184735135613838,10.575315934627671,10.107141858147074
p279,9.128545296473286,3.3386392558166427,8.246591768808257,6.952610782586576
p305,5.783827083091237,1.900668670357436,4.0984741056454705,3.964911445327563
p258,6.982693520111338,2.4596939270168936,5.095457832172498,5.542222069769016
p268,3.8122600327681986,1.0940432485914913,2.52567104200498,2.90670668888023
p273,7.342943885667272,2.6417025294776804,6.098713830509782,6.340682346982303
p336,6.2510734385873254,2.060746670306626,4.845675065170821,5.216075863830994
p376,3.0078322593218316,0.7769500932642539,1.8726602276130582,2.0181321268220422
p250,8.548521189030833,3.4753051495206435,7.644418574401905,7.0410007381063116
p245,4.564761835613751,1.7298003891441056,3.3115925315969914,3.384204792726921
p270,6.408021212666411,2.1164337027368982,4.704705562771895,5.603644020897813
p229,4.9944311887097586,1.4605556480065913,3.2526356668836884,4.321997494136315
p237,5.396393110508563,1.7780013928505543,4.320155094354387,4.425755627761884
p238,5.451863246756595,1.6457343925692094,4.155617693613288,4.8705465796219505
p263,11.215136776972477,4.979059974449531,10.227786873361802,10.359419852623146
p307,3.7569519833451723,0.8994081325193908,2.4185897644544263,2.38118651381959
p297,7.01346943835306,2.00409469502873,5.103152771900128,5.3732371684389095
p286,6.062421298497695,2.0063900198563385,4.7523868671965,5.291097871386966
p302,7.930137749734972,2.5505788459621104,5.4411812651785585,5.894481677304714
p299,4.888856154823359,1.2446656353479615,2.7877522088048408,2.9850543143257755
p260,5.831092243717909,1.835482507115339,3.6068444007533302,4.128869725993256
p261,5.536530840911254,2.1010707751212916,4.178892562886567,4.175519949922298
p374,5.048919326239117,1.670875128825282,3.4061227369284204,3.4560184128123175
p232,5.324687104844612,1.721551586925397,4.2765102777588355,4.174685145763836
p341,4.1304465734851705,1.1049086739933145,2.1171201290536374,2.276101661792725
p275,8.726489771623282,3.149195603952564,7.048914331712317,6.940302618070607
p329,4.881351676643089,1.2981139415227143,3.393929039145976,3.3402050012264555
p298,6.512584984950538,1.737823018621737,3.996822994644345,4.454094217248201
p308,6.826257259254644,1.7654320711917992,4.095983440888255,4.7977475512893895
p361,5.336517035871556,1.7975779529049112,4.256036120174651,4.750246773754941
p364,6.183250478337547,2.081732871684505,5.206832426973237,5.290544210924923
p228,5.296982612429496,1.602033728766325,3.3668051981253018,4.175749322460756
p323,5.037285616792893,1.6131989114556717,3.7146797253180233,3.76351213785402
p227,5.469682573791705,1.5935900554364149,3.3136424108353406,4.384753560030187
p264,7.809652723023102,3.315714440888327,7.120862274915887,6.452645011426976
p303,5.864160012634892,1.7157330077288473,3.9918564705496524,4.523418955963764
p253,10.198383838383837,3.720882661244239,7.569062049062048,9.020539456466553
p256,4.833308856633,1.5470351179162927,2.868513844219173,4.005916405154802
p265,4.81765222083627,1.6495483632538346,3.589571037126284,4.096287379589771
p285,10.712217619958718,4.3187372400088115,9.089929089775442,9.003628788445733
p288,4.639685599700928,1.3535675752659484,3.0120014474255656,3.253934879473236
