name,wer,wer_n,cer,cer_n
p225,11.76982596200762,11.262979400167291,12.243311403651921,10.88256337514289
p226,6.622700616454313,6.332189785213143,8.722284285749085,7.807070555285839
p227,5.928426441649996,5.64797982891323,7.67178472104349,6.993656797060406
p228,6.010816389375493,5.86793008384898,7.661332438843878,7.083407135429125
p229,8.23257639689385,7.8370729703877835,9.475413580310743,8.516892724211424
p230,10.502624412384916,9.709668500152073,12.121767195052497,10.596665432186763
p231,12.366637619535009,11.805057691178764,13.846210362007652,12.212680896588148
p232,7.543159597067982,7.271245308408309,9.575018605455874,8.686085604439683
p233,9.139305641852324,8.76852012038769,10.18511463658897,9.135655860217259
p234,3.063697568341531,2.9811934588582094,5.930093662016074,5.525812681417669
p236,10.155663807380755,9.512694284035748,11.8532437257377,10.381273012763808
p237,6.067482931438105,5.8794441593285365,8.52147194160947,7.798693802315944
p238,5.7427454652414065,5.517928334975975,7.9161661934958705,7.151200941075136
p239,15.68344902691727,15.15532083268877,15.835077581969141,14.043506573595742
p240,5.119907819544841,4.989634320571077,7.3339619631795685,6.785235653479155
p241,5.773468070376918,5.4947500933586575,7.961124956849612,7.276583572096236
p243,7.000798072513621,6.7810032321529965,8.048603211765247,7.29013244658936
p244,10.938523231645744,10.705608459662715,12.842753904712094,11.372751953038863
p245,5.767513514502807,5.729758623937925,7.195745574527867,6.719981088315439
p246,4.308980615581614,4.015317368007752,6.555925315511476,5.993268365721258
p247,8.72597778807653,8.257680003989277,10.127673555656328,8.904371602315223
p248,13.05839643745579,12.429105515611674,13.446396459273734,11.959277294803751
p249,9.714844551450994,9.005849395792096,11.294756745882184,9.939626678621881
p250,12.89959205832033,12.31703040673771,13.779232246069933,12.229516832575253
p251,21.102786764838537,19.919060479716922,20.999087865341277,18.272133576369246
p252,8.723226532451754,8.298431093071832,9.67190552465869,8.603541986909482
p253,10.956300599984807,10.793279289572192,12.964510090899205,11.546723235344027
p254,7.94427720663765,7.516282007908801,9.694538121667357,8.676325466699184
p255,8.216329531700355,7.870759411049709,9.545840777995506,8.627877995757224
p256,5.873190518257337,5.62167279154866,8.243763330462226,7.4214306759354
p257,13.860745797442378,13.349972009018819,15.126050603123518,13.469494900386358
p258,11.668967015596307,11.113512465399925,12.937986697503323,11.533157531821185
p259,5.491342373933469,5.077409075384784,7.100038927712748,6.479248194144863
p260,7.643288318554429,7.359320077386307,9.48255637823915,8.482697444500145
p261,7.612161415459217,7.227961358924346,9.581850901068869,8.611825266125374
p262,9.057297898468079,8.570061390522326,10.76668550418153,9.558727892634451
p263,13.591267192729406,12.919798416165085,14.222017393517245,12.724183388517124
p264,13.6007063030504,12.753948848212644,13.710130342871025,12.131776001551884
