name,wer_ev,cer_ev,wer_my,cer_my
all_wer_cer,21.205075625587813,5.1177020540707625,-1,-1
p239,23.381708517951488,5.6696987086451225,7.130028908441572,11.352042532362356
p255,23.519142088468666,5.814411579101077,6.729205717989953,10.95308287863568
p226,24.32434118743778,5.605913784353931,6.954260237265856,11.433529702047903
p274,20.727093737215483,4.47085202858388,4.353513677548013,8.65254074270254
p243,18.714917734781636,4.424923951908464,4.457118992368206,8.51716822487447
p351,25.638512234370097,6.632914209935879,8.648866417820095,12.386491737664477
p246,24.22565327506782,5.5027064961569705,6.384460123985264,12.457718634148183
p283,23.660165087061458,6.497992637967796,8.368449060216339,11.680631619193948
p326,26.559149085424153,6.863641932494036,9.935150618069208,13.104797402455672
p292,23.97724062053685,5.507662765493549,6.975330662422478,10.980494419467398
p294,23.70456819052105,5.457417834060922,6.525540583738329,11.19423615183142
p343,23.041907819155227,5.165805338343083,5.041114383897889,9.72301545559224
p311,24.998642699304728,5.780241412494966,7.243080177614572,10.510077849387342
p281,22.30193426911795,5.762665634105745,6.6983326065359305,11.280170009155867
p314,22.566435074284826,5.0722967601007785,6.151909165187823,10.102758233281195
p249,22.64354122637013,5.373005776892123,6.663460837690306,11.995120639242657
p266,27.464844961039223,7.4351201338560875,10.396257220168122,15.678698148453332
p335,25.310049266863373,6.375763515177816,9.709904013080319,13.653680529860543
p304,23.12784010654707,5.701801460356932,6.1644154892568475,10.463936928388815
p233,21.547721649464393,5.093365875234355,5.2314862910151545,8.783365818470655
p259,21.293291798173936,4.735298896042427,4.358040942049039,9.583676333835255
p318,23.109932935683464,5.076031010117731,5.259038825701333,9.73817235293238
p271,23.89186661795299,5.532922407149453,5.12238196819524,11.019822257403225
p334,25.076345911929856,6.116144759836566,8.30898824042666,11.67254685835342
p231,23.64500482295212,6.200937472117804,7.656868571759803,11.732291243234254
p313,26.614481786782758,6.598306987037441,9.084306613574975,13.282869983886602
p278,22.248516599724375,5.368933307831228,5.914197713884709,10.935765541372925
p345,25.889710691231027,6.460345023954665,7.243922685060163,12.99324778700365
p276,20.740886922760417,4.594579416068728,4.230000967868363,9.267587546139195
p340,25.617821618194885,6.491049209018594,8.514425311737739,11.345310891300995
p333,23.628074710645716,5.267879990206074,6.7788677408629905,10.387178402130509
p254,23.633904741742054,5.495976056744364,6.958186664626059,10.469386777450781
p300,20.413405483638645,4.529480482122452,4.86356907617623,8.828795826777093
p360,26.350738855795374,6.62473632515924,8.7751166959667,13.477009732462951
p251,27.759235152683438,7.527996855905337,11.2943277874554,16.126116028751063
p279,26.27481965218464,6.653337435500303,9.808547302986009,13.07446913808845
p305,21.62167247411111,5.183849274010578,6.419292961695716,9.5440967913949
p258,26.023914952655087,6.663136131582058,8.234575831709241,13.221002765331715
p268,20.932995474280254,4.447645876154684,4.125799016191198,9.429031139631839
p273,23.262524453661623,5.655868528919765,6.476951100643533,12.065039139783018
p336,23.87741257093696,5.785284900011172,6.744497366645811,10.74136764879938
p376,23.492745317207543,5.249040287935824,5.877414645103324,9.65675589915887
p250,22.41256838571677,5.690555953891468,6.9870402235251,10.42777196554402
p245,23.301050412741677,5.813887591615866,6.414161217907872,10.585997608667935
p270,21.80562877465268,5.365734390830727,6.667722404035489,10.697652390576348
p229,23.382786892246386,5.635734027793533,6.7191267626970985,10.457301880228007
p237,24.57643171614788,5.990385538201866,7.158621805461443,12.213559444199735
p238,21.22179104709691,4.527958988925962,5.212809059012739,10.059552399937006
p263,22.816367404178756,6.609831618161142,8.76857054136145,12.716901290869496
p307,20.297543224953696,4.2798621919837,4.6808518862090285,8.393474588831006
p297,24.3341730682663,5.779627926455381,8.673266377984953,12.59107869369425
p286,21.487396710653343,4.934347231817036,5.23073805524366,10.466228021105579
p302,25.30908506947054,6.355363293884896,8.724068581024069,12.141458790471564
p299,22.89669012267912,5.170804744657226,5.944920944336147,9.53361173384601
p260,25.292076377287444,6.084528821365529,7.586544086211443,11.736770677710503
p261,20.161881225657357,5.004192563846801,4.663421004193822,8.386127655964192
p374,25.62916411503873,6.2158489837969935,8.218027203282984,11.8562142617011
p232,24.34280482293523,5.706040071371217,7.387405929981238,11.444208644945912
p341,22.740018656340293,5.193295168821986,6.369029514216749,10.007553098799935
p275,26.605343738673483,6.827354117411297,9.572560209291048,13.423919067587175
p329,23.146561406024595,5.255330596831043,5.512262008863006,10.095992994177582
p298,22.845904865942725,5.252933738149766,6.167380423515042,10.425618115597592
p308,24.382421191755245,5.644113661717312,7.173664559349512,11.415984819449914
p361,24.204077320744112,5.833115865743669,6.013894799892813,10.475820829771163
p364,25.89017455549811,6.412282694609491,7.031917418130042,12.13719288594605
p228,24.257825790682485,5.917586844935516,7.583217440853333,12.160062809567536
p323,22.14661707978466,5.208663189434274,5.929746190104533,10.293630693365795
p227,21.66494912641859,5.26571999771953,4.803025887214128,10.356736932031529
p264,25.424130425188064,6.762008409961582,8.115293015515118,12.147161862515556
p303,22.75924972962469,5.382521679378672,6.18550562442608,10.292078368963708
p253,26.988447342131586,7.006452872149095,9.237277537277535,15.11880673505892
p256,24.324095813754873,6.00644109253748,7.538029600905073,12.070645656968896
p265,24.121816333603732,5.8253854131210545,6.1349005854984275,11.33147205523339
p285,27.290618246596644,7.634680733173101,9.91264246857936,14.117563605007888
p288,23.889692975741585,5.69554222094448,7.422336229051938,11.502049363015523
p234,17.967377228278213,4.082450679549134,2.3271674745515054,7.562848115793211
p362,25.76065367143672,5.818531057541781,7.460345245967838,11.902192280992994
p240,22.637117923187695,5.2275482162272136,5.032542573377419,10.111564419509437
p280,19.640283311543627,5.130915510413494,5.262880626006426,8.86239348804963
p244,20.777755399383032,5.726793760208837,6.295434111361793,10.233655493766177
p310,24.57725638110113,5.9201865598133026,6.78620376968641,12.494151439801346
p284,25.493908862339058,6.169912731944359,8.133591436386919,12.70472734625087
p272,24.88135750443386,6.108037043645439,8.021517034929161,13.198945949497851
p277,27.96965042658228,7.694121751223113,11.198739352409232,15.802417070417844
p247,22.017435398052992,5.068805392118955,5.730952604327216,10.56931977679735
p241,23.83074137185296,6.09888878249202,6.731125984331591,11.694356555558178
p225,20.16434657050234,4.872212631595868,5.832419744757406,9.249313461510296
p257,27.353500313340046,7.066647823430102,9.244222178247226,13.615498994711547
p317,22.499851326152847,5.327144601722799,7.024209908681727,10.741858732643632
p312,25.9683512273719,6.057729356677623,8.57174672790415,12.379082552597271
p230,21.41584404241253,5.221800862488911,4.3902442283683945,9.613122008770581
p301,21.522370264093663,4.649952542698187,4.9971244837745035,10.417859805485348
p347,27.06862682501092,6.974906546959257,10.867476203477343,14.405252064245115
p306,24.16908933485864,5.9007080675644445,8.16718426501035,12.562563059350332
p236,23.13974903165892,5.804801747625394,6.728059662746852,10.651066679025652
p339,24.158749649494677,5.418788365893121,5.74787177624057,10.482374449623974
p287,21.99778682141119,5.469364236191966,5.376306824451064,9.639900165900123
p262,23.812120986827534,5.882554829519907,6.67668457452525,11.195552237982248
p282,25.649180761094723,6.887520794375112,8.637170182732675,12.946751264644668
p295,25.3397000580854,6.447518476247565,9.879451653553371,13.958544813830223
p330,21.997221678896175,5.041432354649213,5.228035119319182,10.462056547017934
p267,22.73490708973595,5.76039479570552,6.006045658695056,10.4625709713382
p252,24.473297756834224,5.67350188676044,7.349583004420955,11.477604636694476
p363,23.112710862882672,5.287540135786864,4.998802245222294,9.316022121147178
p269,24.338305543507744,6.120116566406813,6.898065597521454,11.812596830802445
p316,23.689324395864936,5.649482942453141,5.867196693237448,10.463559947483333
p248,26.13211372788519,6.9598874559909865,10.481879747131128,13.434386350006935
p293,25.907993399702296,6.527564280775189,9.173715826526825,13.771185380965528
total_files_total_wer_cer,23.681855776774047,6.958936899958668,5.7626876993424645,11.305296821009824
total_by_speakers,23.71280347675886,5.766693310098378,6.9692146234228325,11.321949932370389
