name,wer,wer_n,cer,cer_n
p239,10.172508559394457,9.659492984019618,12.576282943118064,11.451714804790953
p255,8.27414920929302,7.8749500887357575,11.412329122899799,10.547453865760884
p226,7.890030845197905,7.405283931464921,11.273185800687536,10.387692200174458
p274,6.9992464738608025,6.687385525281987,9.6828380763654,9.06467537922775
p243,7.047556890040282,6.799863938272932,9.541044939981749,8.817307538330493
p351,10.989663546062387,10.441275043880445,13.415522978349253,12.243507315598466
p363,6.58053515977624,6.393179458351952,10.57285161440493,9.856495901105966
p246,6.793265115925404,6.5064281702337965,10.798512788992756,9.954410150866131
p283,9.133101844242075,8.72190203821114,12.222756366194053,11.197771017591071
p326,11.7334540492377,11.269451540189964,13.602488955102825,12.454445740381633
p292,7.247252541144205,7.027849997500401,10.252794287235586,9.63548165185893
p294,6.823667035280232,6.577431104581266,9.70163706705521,9.13043253725748
p343,4.829991668366601,4.665487644326493,9.38246726681388,8.767543146880893
p311,8.33896596198157,7.955602833191043,10.956978525633636,10.159027521991325
p281,8.19323505893954,7.875683960509189,11.337389316958498,10.508794029471641
p314,7.025800971001109,6.714102364531627,10.475809205025321,9.700345166749916
p249,7.225632178869091,6.9233241613214815,10.514066541987361,9.712166964768024
p266,11.05334443010334,10.62337187085914,14.045452087178068,12.845815611625916
p335,11.467106932768758,10.990957331209826,13.000773287833491,12.00950837751135
p304,8.175048041492934,7.933122981099616,11.248252770560624,10.422457762365985
p233,7.966674104226535,7.6937409991627,10.747966461901214,10.045917774732947
p259,5.676352925995695,5.50856237507821,8.617436014828113,8.202524207734752
p318,5.623942719585976,5.404335547102555,9.571459737916685,8.917355029727771
p271,5.632117437790434,5.473933695844877,9.958697415181286,9.295383722270612
p334,9.566470814055506,9.128997547085937,12.387418411103113,11.349132053805123
p231,8.625825771138013,8.318551865276644,11.457720324880214,10.676909998354173
p313,9.79290476904149,9.313692498226589,12.442449204502374,11.37891726658342
p278,7.669803597593189,7.369166487490697,10.714073643970604,9.97121999629873
p345,9.06235838490909,8.74351640975936,11.801432101092175,11.03478485297948
p276,6.528278643593668,6.188837138252789,9.538401609220935,8.899813846505856
p340,8.781678139647527,8.477760928999077,11.731400988993302,10.933493265055109
p333,7.499041567675146,7.159187682065541,10.300108747986403,9.593871623986947
p254,8.701580342124714,8.342566274888721,11.5734280714207,10.693743574493567
